img,cls
dataset\airplanes\image_0076.jpg,airplanes
dataset\airplanes\image_0077.jpg,airplanes
dataset\airplanes\image_0078.jpg,airplanes
dataset\airplanes\image_0079.jpg,airplanes
dataset\airplanes\image_0080.jpg,airplanes
dataset\airplanes\image_0081.jpg,airplanes
dataset\airplanes\image_0082.jpg,airplanes
dataset\airplanes\image_0083.jpg,airplanes
dataset\airplanes\image_0084.jpg,airplanes
dataset\airplanes\image_0085.jpg,airplanes
dataset\airplanes\image_0086.jpg,airplanes
dataset\airplanes\image_0087.jpg,airplanes
dataset\airplanes\image_0088.jpg,airplanes
dataset\airplanes\image_0089.jpg,airplanes
dataset\airplanes\image_0090.jpg,airplanes
dataset\airplanes\image_0091.jpg,airplanes
dataset\airplanes\image_0092.jpg,airplanes
dataset\airplanes\image_0093.jpg,airplanes
dataset\airplanes\image_0094.jpg,airplanes
dataset\airplanes\image_0095.jpg,airplanes
dataset\airplanes\image_0096.jpg,airplanes
dataset\airplanes\image_0097.jpg,airplanes
dataset\airplanes\image_0098.jpg,airplanes
dataset\airplanes\image_0099.jpg,airplanes
dataset\airplanes\image_0100.jpg,airplanes
dataset\airplanes\image_0101.jpg,airplanes
dataset\airplanes\image_0102.jpg,airplanes
dataset\airplanes\image_0103.jpg,airplanes
dataset\airplanes\image_0104.jpg,airplanes
dataset\airplanes\image_0105.jpg,airplanes
dataset\airplanes\image_0106.jpg,airplanes
dataset\airplanes\image_0107.jpg,airplanes
dataset\airplanes\image_0108.jpg,airplanes
dataset\airplanes\image_0109.jpg,airplanes
dataset\airplanes\image_0110.jpg,airplanes
dataset\airplanes\image_0111.jpg,airplanes
dataset\airplanes\image_0112.jpg,airplanes
dataset\airplanes\image_0113.jpg,airplanes
dataset\airplanes\image_0114.jpg,airplanes
dataset\airplanes\image_0115.jpg,airplanes
dataset\airplanes\image_0116.jpg,airplanes
dataset\airplanes\image_0117.jpg,airplanes
dataset\airplanes\image_0118.jpg,airplanes
dataset\airplanes\image_0119.jpg,airplanes
dataset\airplanes\image_0120.jpg,airplanes
dataset\airplanes\image_0121.jpg,airplanes
dataset\airplanes\image_0122.jpg,airplanes
dataset\airplanes\image_0123.jpg,airplanes
dataset\airplanes\image_0124.jpg,airplanes
dataset\airplanes\image_0125.jpg,airplanes
dataset\airplanes\image_0126.jpg,airplanes
dataset\airplanes\image_0127.jpg,airplanes
dataset\airplanes\image_0128.jpg,airplanes
dataset\airplanes\image_0129.jpg,airplanes
dataset\airplanes\image_0130.jpg,airplanes
dataset\airplanes\image_0131.jpg,airplanes
dataset\airplanes\image_0132.jpg,airplanes
dataset\airplanes\image_0133.jpg,airplanes
dataset\airplanes\image_0134.jpg,airplanes
dataset\airplanes\image_0135.jpg,airplanes
dataset\airplanes\image_0136.jpg,airplanes
dataset\airplanes\image_0137.jpg,airplanes
dataset\airplanes\image_0138.jpg,airplanes
dataset\airplanes\image_0139.jpg,airplanes
dataset\airplanes\image_0140.jpg,airplanes
dataset\airplanes\image_0141.jpg,airplanes
dataset\airplanes\image_0142.jpg,airplanes
dataset\airplanes\image_0143.jpg,airplanes
dataset\airplanes\image_0144.jpg,airplanes
dataset\airplanes\image_0145.jpg,airplanes
dataset\airplanes\image_0146.jpg,airplanes
dataset\airplanes\image_0147.jpg,airplanes
dataset\airplanes\image_0148.jpg,airplanes
dataset\airplanes\image_0149.jpg,airplanes
dataset\airplanes\image_0150.jpg,airplanes
dataset\airplanes\image_0151.jpg,airplanes
dataset\airplanes\image_0152.jpg,airplanes
dataset\airplanes\image_0153.jpg,airplanes
dataset\airplanes\image_0154.jpg,airplanes
dataset\airplanes\image_0155.jpg,airplanes
dataset\airplanes\image_0156.jpg,airplanes
dataset\airplanes\image_0157.jpg,airplanes
dataset\airplanes\image_0158.jpg,airplanes
dataset\airplanes\image_0159.jpg,airplanes
dataset\airplanes\image_0160.jpg,airplanes
dataset\airplanes\image_0161.jpg,airplanes
dataset\airplanes\image_0162.jpg,airplanes
dataset\airplanes\image_0163.jpg,airplanes
dataset\airplanes\image_0164.jpg,airplanes
dataset\airplanes\image_0165.jpg,airplanes
dataset\airplanes\image_0166.jpg,airplanes
dataset\airplanes\image_0167.jpg,airplanes
dataset\airplanes\image_0168.jpg,airplanes
dataset\airplanes\image_0169.jpg,airplanes
dataset\airplanes\image_0170.jpg,airplanes
dataset\airplanes\image_0171.jpg,airplanes
dataset\airplanes\image_0172.jpg,airplanes
dataset\airplanes\image_0173.jpg,airplanes
dataset\airplanes\image_0174.jpg,airplanes
dataset\airplanes\image_0175.jpg,airplanes
dataset\airplanes\image_0176.jpg,airplanes
dataset\airplanes\image_0177.jpg,airplanes
dataset\airplanes\image_0178.jpg,airplanes
dataset\airplanes\image_0179.jpg,airplanes
dataset\airplanes\image_0180.jpg,airplanes
dataset\airplanes\image_0181.jpg,airplanes
dataset\airplanes\image_0182.jpg,airplanes
dataset\airplanes\image_0183.jpg,airplanes
dataset\airplanes\image_0184.jpg,airplanes
dataset\airplanes\image_0185.jpg,airplanes
dataset\airplanes\image_0186.jpg,airplanes
dataset\airplanes\image_0187.jpg,airplanes
dataset\airplanes\image_0188.jpg,airplanes
dataset\airplanes\image_0189.jpg,airplanes
dataset\airplanes\image_0190.jpg,airplanes
dataset\airplanes\image_0191.jpg,airplanes
dataset\airplanes\image_0192.jpg,airplanes
dataset\airplanes\image_0193.jpg,airplanes
dataset\airplanes\image_0194.jpg,airplanes
dataset\airplanes\image_0195.jpg,airplanes
dataset\airplanes\image_0196.jpg,airplanes
dataset\airplanes\image_0197.jpg,airplanes
dataset\airplanes\image_0198.jpg,airplanes
dataset\airplanes\image_0199.jpg,airplanes
dataset\airplanes\image_0200.jpg,airplanes
dataset\airplanes\image_0201.jpg,airplanes
dataset\airplanes\image_0202.jpg,airplanes
dataset\airplanes\image_0203.jpg,airplanes
dataset\airplanes\image_0204.jpg,airplanes
dataset\airplanes\image_0205.jpg,airplanes
dataset\airplanes\image_0206.jpg,airplanes
dataset\airplanes\image_0207.jpg,airplanes
dataset\airplanes\image_0208.jpg,airplanes
dataset\airplanes\image_0209.jpg,airplanes
dataset\airplanes\image_0210.jpg,airplanes
dataset\airplanes\image_0211.jpg,airplanes
dataset\airplanes\image_0212.jpg,airplanes
dataset\airplanes\image_0213.jpg,airplanes
dataset\airplanes\image_0214.jpg,airplanes
dataset\airplanes\image_0215.jpg,airplanes
dataset\airplanes\image_0216.jpg,airplanes
dataset\airplanes\image_0217.jpg,airplanes
dataset\airplanes\image_0218.jpg,airplanes
dataset\airplanes\image_0219.jpg,airplanes
dataset\airplanes\image_0220.jpg,airplanes
dataset\airplanes\image_0221.jpg,airplanes
dataset\airplanes\image_0222.jpg,airplanes
dataset\airplanes\image_0223.jpg,airplanes
dataset\airplanes\image_0224.jpg,airplanes
dataset\airplanes\image_0225.jpg,airplanes
dataset\airplanes\image_0226.jpg,airplanes
dataset\airplanes\image_0227.jpg,airplanes
dataset\airplanes\image_0228.jpg,airplanes
dataset\airplanes\image_0229.jpg,airplanes
dataset\airplanes\image_0230.jpg,airplanes
dataset\airplanes\image_0231.jpg,airplanes
dataset\airplanes\image_0232.jpg,airplanes
dataset\airplanes\image_0233.jpg,airplanes
dataset\airplanes\image_0234.jpg,airplanes
dataset\airplanes\image_0235.jpg,airplanes
dataset\airplanes\image_0236.jpg,airplanes
dataset\airplanes\image_0237.jpg,airplanes
dataset\airplanes\image_0238.jpg,airplanes
dataset\airplanes\image_0239.jpg,airplanes
dataset\airplanes\image_0240.jpg,airplanes
dataset\airplanes\image_0241.jpg,airplanes
dataset\airplanes\image_0242.jpg,airplanes
dataset\airplanes\image_0243.jpg,airplanes
dataset\airplanes\image_0244.jpg,airplanes
dataset\airplanes\image_0245.jpg,airplanes
dataset\airplanes\image_0246.jpg,airplanes
dataset\airplanes\image_0247.jpg,airplanes
dataset\airplanes\image_0248.jpg,airplanes
dataset\airplanes\image_0249.jpg,airplanes
dataset\airplanes\image_0250.jpg,airplanes
dataset\airplanes\image_0251.jpg,airplanes
dataset\airplanes\image_0252.jpg,airplanes
dataset\airplanes\image_0253.jpg,airplanes
dataset\airplanes\image_0254.jpg,airplanes
dataset\airplanes\image_0255.jpg,airplanes
dataset\airplanes\image_0256.jpg,airplanes
dataset\airplanes\image_0257.jpg,airplanes
dataset\airplanes\image_0258.jpg,airplanes
dataset\airplanes\image_0259.jpg,airplanes
dataset\airplanes\image_0260.jpg,airplanes
dataset\airplanes\image_0261.jpg,airplanes
dataset\airplanes\image_0262.jpg,airplanes
dataset\airplanes\image_0263.jpg,airplanes
dataset\airplanes\image_0264.jpg,airplanes
dataset\airplanes\image_0265.jpg,airplanes
dataset\airplanes\image_0266.jpg,airplanes
dataset\airplanes\image_0267.jpg,airplanes
dataset\airplanes\image_0268.jpg,airplanes
dataset\airplanes\image_0269.jpg,airplanes
dataset\airplanes\image_0270.jpg,airplanes
dataset\airplanes\image_0271.jpg,airplanes
dataset\airplanes\image_0272.jpg,airplanes
dataset\airplanes\image_0273.jpg,airplanes
dataset\airplanes\image_0274.jpg,airplanes
dataset\airplanes\image_0275.jpg,airplanes
dataset\airplanes\image_0276.jpg,airplanes
dataset\airplanes\image_0277.jpg,airplanes
dataset\airplanes\image_0278.jpg,airplanes
dataset\airplanes\image_0279.jpg,airplanes
dataset\airplanes\image_0280.jpg,airplanes
dataset\airplanes\image_0281.jpg,airplanes
dataset\airplanes\image_0282.jpg,airplanes
dataset\airplanes\image_0283.jpg,airplanes
dataset\airplanes\image_0284.jpg,airplanes
dataset\airplanes\image_0285.jpg,airplanes
dataset\airplanes\image_0286.jpg,airplanes
dataset\airplanes\image_0287.jpg,airplanes
dataset\airplanes\image_0288.jpg,airplanes
dataset\airplanes\image_0289.jpg,airplanes
dataset\airplanes\image_0290.jpg,airplanes
dataset\airplanes\image_0291.jpg,airplanes
dataset\airplanes\image_0292.jpg,airplanes
dataset\airplanes\image_0293.jpg,airplanes
dataset\airplanes\image_0294.jpg,airplanes
dataset\airplanes\image_0295.jpg,airplanes
dataset\airplanes\image_0296.jpg,airplanes
dataset\airplanes\image_0297.jpg,airplanes
dataset\airplanes\image_0298.jpg,airplanes
dataset\airplanes\image_0299.jpg,airplanes
dataset\airplanes\image_0300.jpg,airplanes
dataset\airplanes\image_0301.jpg,airplanes
dataset\airplanes\image_0302.jpg,airplanes
dataset\airplanes\image_0303.jpg,airplanes
dataset\airplanes\image_0304.jpg,airplanes
dataset\airplanes\image_0305.jpg,airplanes
dataset\airplanes\image_0306.jpg,airplanes
dataset\airplanes\image_0307.jpg,airplanes
dataset\airplanes\image_0308.jpg,airplanes
dataset\airplanes\image_0309.jpg,airplanes
dataset\airplanes\image_0310.jpg,airplanes
dataset\airplanes\image_0311.jpg,airplanes
dataset\airplanes\image_0312.jpg,airplanes
dataset\airplanes\image_0313.jpg,airplanes
dataset\airplanes\image_0314.jpg,airplanes
dataset\airplanes\image_0315.jpg,airplanes
dataset\airplanes\image_0316.jpg,airplanes
dataset\airplanes\image_0317.jpg,airplanes
dataset\airplanes\image_0318.jpg,airplanes
dataset\airplanes\image_0319.jpg,airplanes
dataset\airplanes\image_0320.jpg,airplanes
dataset\airplanes\image_0321.jpg,airplanes
dataset\airplanes\image_0322.jpg,airplanes
dataset\airplanes\image_0323.jpg,airplanes
dataset\airplanes\image_0324.jpg,airplanes
dataset\airplanes\image_0325.jpg,airplanes
dataset\airplanes\image_0326.jpg,airplanes
dataset\airplanes\image_0327.jpg,airplanes
dataset\airplanes\image_0328.jpg,airplanes
dataset\airplanes\image_0329.jpg,airplanes
dataset\airplanes\image_0330.jpg,airplanes
dataset\airplanes\image_0331.jpg,airplanes
dataset\airplanes\image_0332.jpg,airplanes
dataset\airplanes\image_0333.jpg,airplanes
dataset\airplanes\image_0334.jpg,airplanes
dataset\airplanes\image_0335.jpg,airplanes
dataset\airplanes\image_0336.jpg,airplanes
dataset\airplanes\image_0337.jpg,airplanes
dataset\airplanes\image_0338.jpg,airplanes
dataset\airplanes\image_0339.jpg,airplanes
dataset\airplanes\image_0340.jpg,airplanes
dataset\airplanes\image_0341.jpg,airplanes
dataset\airplanes\image_0342.jpg,airplanes
dataset\airplanes\image_0343.jpg,airplanes
dataset\airplanes\image_0344.jpg,airplanes
dataset\airplanes\image_0345.jpg,airplanes
dataset\airplanes\image_0346.jpg,airplanes
dataset\airplanes\image_0347.jpg,airplanes
dataset\airplanes\image_0348.jpg,airplanes
dataset\airplanes\image_0349.jpg,airplanes
dataset\airplanes\image_0350.jpg,airplanes
dataset\airplanes\image_0351.jpg,airplanes
dataset\airplanes\image_0352.jpg,airplanes
dataset\airplanes\image_0353.jpg,airplanes
dataset\airplanes\image_0354.jpg,airplanes
dataset\airplanes\image_0355.jpg,airplanes
dataset\airplanes\image_0356.jpg,airplanes
dataset\airplanes\image_0357.jpg,airplanes
dataset\airplanes\image_0358.jpg,airplanes
dataset\airplanes\image_0359.jpg,airplanes
dataset\airplanes\image_0360.jpg,airplanes
dataset\airplanes\image_0361.jpg,airplanes
dataset\airplanes\image_0362.jpg,airplanes
dataset\airplanes\image_0363.jpg,airplanes
dataset\airplanes\image_0364.jpg,airplanes
dataset\airplanes\image_0365.jpg,airplanes
dataset\airplanes\image_0366.jpg,airplanes
dataset\airplanes\image_0367.jpg,airplanes
dataset\airplanes\image_0368.jpg,airplanes
dataset\airplanes\image_0369.jpg,airplanes
dataset\airplanes\image_0370.jpg,airplanes
dataset\airplanes\image_0371.jpg,airplanes
dataset\airplanes\image_0372.jpg,airplanes
dataset\airplanes\image_0373.jpg,airplanes
dataset\airplanes\image_0374.jpg,airplanes
dataset\airplanes\image_0375.jpg,airplanes
dataset\airplanes\image_0376.jpg,airplanes
dataset\airplanes\image_0377.jpg,airplanes
dataset\airplanes\image_0378.jpg,airplanes
dataset\airplanes\image_0379.jpg,airplanes
dataset\airplanes\image_0380.jpg,airplanes
dataset\airplanes\image_0381.jpg,airplanes
dataset\airplanes\image_0382.jpg,airplanes
dataset\airplanes\image_0383.jpg,airplanes
dataset\airplanes\image_0384.jpg,airplanes
dataset\airplanes\image_0385.jpg,airplanes
dataset\airplanes\image_0386.jpg,airplanes
dataset\airplanes\image_0387.jpg,airplanes
dataset\airplanes\image_0388.jpg,airplanes
dataset\airplanes\image_0389.jpg,airplanes
dataset\airplanes\image_0390.jpg,airplanes
dataset\airplanes\image_0391.jpg,airplanes
dataset\airplanes\image_0392.jpg,airplanes
dataset\airplanes\image_0393.jpg,airplanes
dataset\airplanes\image_0394.jpg,airplanes
dataset\airplanes\image_0395.jpg,airplanes
dataset\airplanes\image_0396.jpg,airplanes
dataset\airplanes\image_0397.jpg,airplanes
dataset\airplanes\image_0398.jpg,airplanes
dataset\airplanes\image_0399.jpg,airplanes
dataset\airplanes\image_0400.jpg,airplanes
dataset\airplanes\image_0401.jpg,airplanes
dataset\airplanes\image_0402.jpg,airplanes
dataset\airplanes\image_0403.jpg,airplanes
dataset\airplanes\image_0404.jpg,airplanes
dataset\airplanes\image_0405.jpg,airplanes
dataset\airplanes\image_0406.jpg,airplanes
dataset\airplanes\image_0407.jpg,airplanes
dataset\airplanes\image_0408.jpg,airplanes
dataset\airplanes\image_0409.jpg,airplanes
dataset\airplanes\image_0410.jpg,airplanes
dataset\airplanes\image_0411.jpg,airplanes
dataset\airplanes\image_0412.jpg,airplanes
dataset\airplanes\image_0413.jpg,airplanes
dataset\airplanes\image_0414.jpg,airplanes
dataset\airplanes\image_0415.jpg,airplanes
dataset\airplanes\image_0416.jpg,airplanes
dataset\airplanes\image_0417.jpg,airplanes
dataset\airplanes\image_0418.jpg,airplanes
dataset\airplanes\image_0419.jpg,airplanes
dataset\airplanes\image_0420.jpg,airplanes
dataset\airplanes\image_0421.jpg,airplanes
dataset\airplanes\image_0422.jpg,airplanes
dataset\airplanes\image_0423.jpg,airplanes
dataset\airplanes\image_0424.jpg,airplanes
dataset\airplanes\image_0425.jpg,airplanes
dataset\airplanes\image_0426.jpg,airplanes
dataset\airplanes\image_0427.jpg,airplanes
dataset\airplanes\image_0428.jpg,airplanes
dataset\airplanes\image_0429.jpg,airplanes
dataset\airplanes\image_0430.jpg,airplanes
dataset\airplanes\image_0431.jpg,airplanes
dataset\airplanes\image_0432.jpg,airplanes
dataset\airplanes\image_0433.jpg,airplanes
dataset\airplanes\image_0434.jpg,airplanes
dataset\airplanes\image_0435.jpg,airplanes
dataset\airplanes\image_0436.jpg,airplanes
dataset\airplanes\image_0437.jpg,airplanes
dataset\airplanes\image_0438.jpg,airplanes
dataset\airplanes\image_0439.jpg,airplanes
dataset\airplanes\image_0440.jpg,airplanes
dataset\airplanes\image_0441.jpg,airplanes
dataset\airplanes\image_0442.jpg,airplanes
dataset\airplanes\image_0443.jpg,airplanes
dataset\airplanes\image_0444.jpg,airplanes
dataset\airplanes\image_0445.jpg,airplanes
dataset\airplanes\image_0446.jpg,airplanes
dataset\airplanes\image_0447.jpg,airplanes
dataset\airplanes\image_0448.jpg,airplanes
dataset\airplanes\image_0449.jpg,airplanes
dataset\airplanes\image_0450.jpg,airplanes
dataset\airplanes\image_0451.jpg,airplanes
dataset\airplanes\image_0452.jpg,airplanes
dataset\airplanes\image_0453.jpg,airplanes
dataset\airplanes\image_0454.jpg,airplanes
dataset\airplanes\image_0455.jpg,airplanes
dataset\airplanes\image_0456.jpg,airplanes
dataset\airplanes\image_0457.jpg,airplanes
dataset\airplanes\image_0458.jpg,airplanes
dataset\airplanes\image_0459.jpg,airplanes
dataset\airplanes\image_0460.jpg,airplanes
dataset\airplanes\image_0461.jpg,airplanes
dataset\airplanes\image_0462.jpg,airplanes
dataset\airplanes\image_0463.jpg,airplanes
dataset\airplanes\image_0464.jpg,airplanes
dataset\airplanes\image_0465.jpg,airplanes
dataset\airplanes\image_0466.jpg,airplanes
dataset\airplanes\image_0467.jpg,airplanes
dataset\airplanes\image_0468.jpg,airplanes
dataset\airplanes\image_0469.jpg,airplanes
dataset\airplanes\image_0470.jpg,airplanes
dataset\airplanes\image_0471.jpg,airplanes
dataset\airplanes\image_0472.jpg,airplanes
dataset\airplanes\image_0473.jpg,airplanes
dataset\airplanes\image_0474.jpg,airplanes
dataset\airplanes\image_0475.jpg,airplanes
dataset\airplanes\image_0476.jpg,airplanes
dataset\airplanes\image_0477.jpg,airplanes
dataset\airplanes\image_0478.jpg,airplanes
dataset\airplanes\image_0479.jpg,airplanes
dataset\airplanes\image_0480.jpg,airplanes
dataset\airplanes\image_0481.jpg,airplanes
dataset\airplanes\image_0482.jpg,airplanes
dataset\airplanes\image_0483.jpg,airplanes
dataset\airplanes\image_0484.jpg,airplanes
dataset\airplanes\image_0485.jpg,airplanes
dataset\airplanes\image_0486.jpg,airplanes
dataset\airplanes\image_0487.jpg,airplanes
dataset\airplanes\image_0488.jpg,airplanes
dataset\airplanes\image_0489.jpg,airplanes
dataset\airplanes\image_0490.jpg,airplanes
dataset\airplanes\image_0491.jpg,airplanes
dataset\airplanes\image_0492.jpg,airplanes
dataset\airplanes\image_0493.jpg,airplanes
dataset\airplanes\image_0494.jpg,airplanes
dataset\airplanes\image_0495.jpg,airplanes
dataset\airplanes\image_0496.jpg,airplanes
dataset\airplanes\image_0497.jpg,airplanes
dataset\airplanes\image_0498.jpg,airplanes
dataset\airplanes\image_0499.jpg,airplanes
dataset\airplanes\image_0500.jpg,airplanes
dataset\airplanes\image_0501.jpg,airplanes
dataset\airplanes\image_0502.jpg,airplanes
dataset\airplanes\image_0503.jpg,airplanes
dataset\airplanes\image_0504.jpg,airplanes
dataset\airplanes\image_0505.jpg,airplanes
dataset\airplanes\image_0506.jpg,airplanes
dataset\airplanes\image_0507.jpg,airplanes
dataset\airplanes\image_0508.jpg,airplanes
dataset\airplanes\image_0509.jpg,airplanes
dataset\airplanes\image_0510.jpg,airplanes
dataset\airplanes\image_0511.jpg,airplanes
dataset\airplanes\image_0512.jpg,airplanes
dataset\airplanes\image_0513.jpg,airplanes
dataset\airplanes\image_0514.jpg,airplanes
dataset\airplanes\image_0515.jpg,airplanes
dataset\airplanes\image_0516.jpg,airplanes
dataset\airplanes\image_0517.jpg,airplanes
dataset\airplanes\image_0518.jpg,airplanes
dataset\airplanes\image_0519.jpg,airplanes
dataset\airplanes\image_0520.jpg,airplanes
dataset\airplanes\image_0521.jpg,airplanes
dataset\airplanes\image_0522.jpg,airplanes
dataset\airplanes\image_0523.jpg,airplanes
dataset\airplanes\image_0524.jpg,airplanes
dataset\airplanes\image_0525.jpg,airplanes
dataset\airplanes\image_0526.jpg,airplanes
dataset\airplanes\image_0527.jpg,airplanes
dataset\airplanes\image_0528.jpg,airplanes
dataset\airplanes\image_0529.jpg,airplanes
dataset\airplanes\image_0530.jpg,airplanes
dataset\airplanes\image_0531.jpg,airplanes
dataset\airplanes\image_0532.jpg,airplanes
dataset\airplanes\image_0533.jpg,airplanes
dataset\airplanes\image_0534.jpg,airplanes
dataset\airplanes\image_0535.jpg,airplanes
dataset\airplanes\image_0536.jpg,airplanes
dataset\airplanes\image_0537.jpg,airplanes
dataset\airplanes\image_0538.jpg,airplanes
dataset\airplanes\image_0539.jpg,airplanes
dataset\airplanes\image_0540.jpg,airplanes
dataset\airplanes\image_0541.jpg,airplanes
dataset\airplanes\image_0542.jpg,airplanes
dataset\airplanes\image_0543.jpg,airplanes
dataset\airplanes\image_0544.jpg,airplanes
dataset\airplanes\image_0545.jpg,airplanes
dataset\airplanes\image_0546.jpg,airplanes
dataset\airplanes\image_0547.jpg,airplanes
dataset\airplanes\image_0548.jpg,airplanes
dataset\airplanes\image_0549.jpg,airplanes
dataset\airplanes\image_0550.jpg,airplanes
dataset\airplanes\image_0551.jpg,airplanes
dataset\airplanes\image_0552.jpg,airplanes
dataset\airplanes\image_0553.jpg,airplanes
dataset\airplanes\image_0554.jpg,airplanes
dataset\airplanes\image_0555.jpg,airplanes
dataset\airplanes\image_0556.jpg,airplanes
dataset\airplanes\image_0557.jpg,airplanes
dataset\airplanes\image_0558.jpg,airplanes
